EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10131235,TARRANT CO., ,04/02/1980,1643,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,439,T,0,0, , ,0,0,0, ,0, , ,04/02/1980,1643,32.80,-97.50, , ,"","",1
10131236,TARRANT CO., ,04/02/1980,1720,Hail,4.50, ,0,0,0,0,TX,CST, , ,C,439,NG,0,0, , ,0,0,0, ,0, , ,04/02/1980,1720,32.80,-97.33, , ,"","",2
10131238,TARRANT CO., ,04/02/1980,1740,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,439,T,0,0, , ,0,0,0, ,0, , ,04/02/1980,1740,32.73,-97.22, , ,"","",3
10131241,TARRANT CO., ,04/02/1980,1825,Hail,3.00, ,0,0,0,0,TX,CST, , ,C,439,T,0,0, , ,0,0,0, ,0, , ,04/02/1980,1825,32.63,-97.32, , ,"","",4
10128986,TARRANT CO., ,05/06/1980,1620,Hail,1.00, ,0,0,0,0,TX,CST, , ,C,439,ATA,0,0, , ,0,0,0, ,0, , ,05/06/1980,1620,32.70,-97.35, , ,"","",5
10130291,TARRANT CO., ,05/08/1981,1920,Hail,2.75, ,0,0,0,0,TX,CST, , ,C,439,MT,0,0, , ,0,0,0, ,0, , ,05/08/1981,1920,32.68,-97.45, , ,"","",6
10130293,TARRANT CO., ,05/08/1981,1955,Hail,2.75, ,0,0,0,0,TX,CST, , ,C,439,T,0,0, , ,0,0,0, ,0, , ,05/08/1981,1955,32.67,-97.10, , ,"","",7
10130294,TARRANT CO., ,05/08/1981,1957,Hail,1.50, ,0,0,0,0,TX,CST, , ,C,439,S,0,0, , ,0,0,0, ,0, , ,05/08/1981,1957,32.77,-97.45, , ,"","",8
10131519,TARRANT CO., ,05/18/1981,225,Hail,1.75, ,0,0,0,0,TX,CST, , ,C,439,NG,0,0, , ,0,0,0, ,0, , ,05/18/1981,225,32.90,-97.53, , ,"","",9
10129036,TARRANT CO., ,11/08/1981,1650,Hail,.75, ,0,0,0,0,TX,CST, , ,C,439,NG,0,0, , ,0,0,0, ,0, , ,11/08/1981,1650,32.77,-97.62, , ,"","",10
