EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5234242,TARRANT CO.,HASLET,03/11/2001,2100,Hail,1.00, ,0,0,0,0,TX,CST, ,1111853,C,439,FWD,0,0,GENERAL PUBLIC, , , , , , , ,HASLET,03/11/2001,2100,32.96667,-97.35,32.96667,-97.35,"","

				March 11,12  - Episode Narrative

An upper level low moved into the southern plains and thunderstorms were triggered as a series of short waves ejected out of the system. Most of the severe activity occurred north and west of a Stephenville, Dallas, Greenville line. However,  locally heavy rain was reported across many areas, including southeastern portions of the region.",1
5245968,TARRANT CO.,MANSFIELD,05/06/2001,1758,Hail,0.88, ,0,0,0,0,TX,CST, ,1114879,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,MANSFIELD,05/06/2001,1758,31.06667,-97.46667,31.06667,-97.46667,"","

				May 4, 5, and 6th Episode Narrative

Northwesterly flow set up over the region.  Numerous disturbances moved through the northwest flow and touched off thunderstorms.  Some storms became severe and numerous reports of wind, rain, and hail were received.  In Mansfield, in southern Tarrant County, an F1 tornado was observed and caused damage to many homes and structures.  Additional tornadoes were observed in Johnson and Bosque Counties.  Over the course of the next few days most locations received at least some rain...but amounts varied depending on location.  Additional upper level disturbances resulted in more thunderstorms over the course of the weekend as well.",2
5252428,TARRANT CO.,BLUE MOUND,06/14/2001,1854,Hail,0.88, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,TRAINED SPOTTER, , , ,2,N,2,N,BLUE MOUND,06/14/2001,1854,32.91667,-97.36667,32.91667,-97.36667,"","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",3
5252429,TARRANT CO.,WHITE SETTLEMENT,06/14/2001,1903,Hail,0.75, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,WHITE SETTLEMENT,06/14/2001,1903,32.76667,-97.45,32.76667,-97.45,"","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",4
5252431,TARRANT CO.,HALTOM CITY,06/14/2001,1920,Hail,0.75, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,HALTOM CITY,06/14/2001,1920,32.8,-97.26667,32.8,-97.26667,"","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",5
5252433,TARRANT CO.,WHITE SETTLEMENT,06/14/2001,1936,Hail,1.00, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,WHITE SETTLEMENT,06/14/2001,1936,32.76667,-97.45,32.76667,-97.45,"","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",6
5252435,TARRANT CO.,FT WORTH,06/14/2001,1937,Hail,0.75, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,FT WORTH,06/14/2001,1937,32.75,-97.35,32.75,-97.35,"Occurred in south Ft. Worth.","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",7
5252436,TARRANT CO.,FT WORTH,06/14/2001,1950,Hail,1.00, ,0,0,0,0,TX,CST, ,1116896,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,FT WORTH,06/14/2001,1950,32.75,-97.35,32.75,-97.35,"","
				June 14 Episode Narrative

A widespread thunderstorm event occurred across north Texas as a cold front, dryline, and low pressure combined to bring severe weather to the region.  Numerous reports of large hail and damaging winds were received, with an isolated tornado reported near Cisco, in Eastland County.  Virtually everyone received some rain, but amounts varied greatly by location",8
5252541,TARRANT CO.,FT WORTH,06/21/2001,1500,Hail,0.88, ,0,0,0,0,TX,CST, ,1116897,C,439,FWD,0,0,AMATEUR RADIO, , , ,1,S,1,S,FT WORTH,06/21/2001,1500,32.73333,-97.35,32.73333,-97.35,"","
				June 21 Episode Narrative

A stalled boundary helped to initiate scattered thunderstorms across North Texas, generally south and east of a Gainesville, Weatherford, Comanche line.  Some of the storms were severe, bringing large hail and strong winds.",9
5271706,TARRANT CO.,NORTH RICHLAND HILLS,10/10/2001,1857,Hail,0.88, ,0,0,0,0,TX,CST, ,1124377,C,439,FWD,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,NORTH RICHLAND HILLS,10/10/2001,1857,33.13333,-96.11667,33.13333,-96.11667,"","
Showers and thunderstorms developed across north Texas, mainly in the afternoon and night resulting in widespread severe weather, during the period October 10-13.  The most significant event occured during the late afternoon and night of October 12, as a line of severe thunderstorms moved east across north texas producing eight tornadoes, and nearly two million dollars in damage.",10
